"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Segregation.nlogox"
"post_densidad"
"10/26/2025 19:37:07:938 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","%-similar-wanted","density","[step]","count turtles with [ not happy? ]","percent-similar","percent-unhappy"
"7","square-x","80","30","289","0","100","0"
"4","square-x","80","30","349","0","100","0"
"3","square-x","80","30","303","0","100","0"
"8","square-x","80","30","371","0","100","0"
"9","square-x","80","30","284","0","100","0"
"10","square-x","80","30","281","0","100","0"
"11","square-x","80","40","212","0","100","0"
"1","square-x","80","30","327","0","100","0"
"6","square-x","80","30","293","0","100","0"
"5","square-x","80","30","402","0","100","0"
"2","square-x","80","30","389","0","100","0"
"12","square-x","80","40","316","0","99.89019033674963","0"
"13","square-x","80","40","238","0","100","0"
"16","square-x","80","40","218","0","100","0"
"17","square-x","80","40","340","0","100","0"
"18","square-x","80","40","286","0","100","0"
"14","square-x","80","40","359","0","100","0"
"15","square-x","80","40","381","0","100","0"
"20","square-x","80","40","247","0","100","0"
"19","square-x","80","40","328","0","99.8961218836565","0"
"21","square-x","80","50","377","0","100","0"
"27","square-x","80","50","358","0","99.97438524590164","0"
"25","square-x","80","50","382","0","100","0"
"24","square-x","80","50","433","0","99.9745999491999","0"
"22","square-x","80","50","430","0","99.94819994819994","0"
"29","square-x","80","50","392","0","99.97425334706487","0"
"28","square-x","80","50","590","0","99.9755441428222","0"
"26","square-x","80","50","682","0","99.90212870075851","0"
"23","square-x","80","50","815","0","99.9245283018868","0"
"30","square-x","80","50","531","0","99.97424008243173","0"
"32","square-x","80","60","2500","1101","60.238030835812815","72.05497382198953"
"35","square-x","80","60","2500","1151","58.82804503582395","73.21882951653944"
"37","square-x","80","60","2500","1163","58.37981407702523","74.98388136686009"
"36","square-x","80","60","2500","1070","61.17459473824076","69.79778212654925"
"34","square-x","80","60","2500","1177","58.16542948038176","75.83762886597938"
"31","square-x","80","60","2500","1010","64.88453815261043","63.76262626262626"
"38","square-x","80","60","2500","1190","58.099999999999994","74.60815047021944"
"33","square-x","80","60","2500","1217","58.22537276949401","75.35603715170278"
"39","square-x","80","60","2500","1162","59.049597507141","74.29667519181585"
"40","square-x","80","60","2500","1044","64.19974391805377","66.88020499679692"
"41","square-x","80","70","2500","1463","55.23570324574961","80.29637760702525"
"46","square-x","80","70","2500","1468","54.74626865671641","81.78272980501393"
"47","square-x","80","70","2500","1426","56.05939004815409","79.62032384142937"
"48","square-x","80","70","2500","1431","55.99294947121034","79.41176470588235"
"49","square-x","80","70","2500","1437","56.6932193510783","78.91268533772653"
"42","square-x","80","70","2500","1446","56.70490878314839","78.41648590021691"
"45","square-x","80","70","2500","1421","54.98679666869795","79.92125984251969"
"44","square-x","80","70","2500","1437","55.655753773769845","79.12995594713657"
"43","square-x","80","70","2500","1520","53.83455813077068","82.4295010845987"
"50","square-x","80","70","2500","1493","54.00435040537869","82.57743362831859"
"51","square-x","80","80","2500","1838","52.62535127939654","87.774594078319"
"52","square-x","80","80","2500","1901","51.357596764875794","89.79688238072745"
"54","square-x","80","80","2500","1794","51.76056338028169","87.0873786407767"
"53","square-x","80","80","2500","1820","53.43376163048295","86.9980879541109"
"57","square-x","80","80","2500","1718","54.42628007402838","83.72319688109162"
"55","square-x","80","80","2500","1799","52.095078470211796","87.37251092763478"
"56","square-x","80","80","2500","1757","53.39366515837104","84.83824239497827"
"59","square-x","80","80","2500","1794","52.46174821996667","86.66666666666667"
"58","square-x","80","80","2500","1877","51.70323325635104","88.62134088762984"
"60","square-x","80","80","2500","1733","54.179104477611936","83.03785337805462"
"62","square-x","80","90","2500","2151","50.919226663503736","91.92307692307692"
"63","square-x","80","90","2500","2123","51.28696276786783","91.07679107679107"
"61","square-x","80","90","2500","2154","51.469363474122545","92.1300256629598"
"64","square-x","80","90","2500","2166","51.335833138036094","91.97452229299363"
"65","square-x","80","90","2500","2158","51.524032825322394","91.55706406448876"
"66","square-x","80","90","2500","2151","51.21631290245647","92.15938303341902"
"68","square-x","80","90","2500","2123","52.009656004827995","91.50862068965517"
"67","square-x","80","90","2500","2094","52.114048982575845","90.68860978778692"
"69","square-x","80","90","2500","2114","51.508259516399335","90.80756013745705"
"70","square-x","80","90","2500","2127","52.16460513796385","91.05308219178082"
