"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Segregation.nlogox"
"evolutivo_densidad"
"10/26/2025 18:00:30:650 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","%-similar-wanted","density","[step]","count turtles with [ not happy? ]","percent-similar","percent-unhappy"
"7","square-x","60","30","6","103","88.13559322033898","12.826899128268993"
"3","square-x","60","30","19","1","98.19277108433735","0.1277139208173691"
"8","square-x","60","30","16","3","98.67498051441933","0.36496350364963503"
"5","square-x","60","30","16","9","97.94050343249427","1.0843373493975903"
"4","square-x","60","30","12","5","97.79816513761467","0.6596306068601583"
"3","square-x","60","30","20","1","98.02235597592434","0.1277139208173691"
"1","square-x","60","30","7","69","88.76106194690266","8.690176322418136"
"2","square-x","60","30","9","53","92.0952380952381","7.114093959731544"
"6","square-x","60","30","9","36","94.20035149384886","4.545454545454546"
"4","square-x","60","30","13","3","98.15837937384899","0.395778364116095"
"3","square-x","60","30","21","2","98.2773471145564","0.2554278416347382"
"7","square-x","60","30","7","83","89.2416225749559","10.336239103362391"
"8","square-x","60","30","17","1","98.82995319812792","0.12165450121654502"
"2","square-x","60","30","10","43","93.17118802619271","5.771812080536913"
"1","square-x","60","30","8","48","93.25539568345323","6.045340050377834"
"5","square-x","60","30","17","7","97.4378296910324","0.8433734939759037"
"3","square-x","60","30","22","2","98.20051413881748","0.2554278416347382"
"4","square-x","60","30","14","5","97.79411764705883","0.6596306068601583"
"8","square-x","60","30","18","0","99.0625","0"
"2","square-x","60","30","11","25","94.64788732394366","3.3557046979865772"
"6","square-x","60","30","10","28","94.85165794066319","3.535353535353535"
"7","square-x","60","30","8","64","92.51523063533507","7.970112079701121"
"4","square-x","60","30","15","1","97.97608095676172","0.13192612137203166"
"3","square-x","60","30","23","0","98.53068280034573","0"
"5","square-x","60","30","18","3","98.26021180030257","0.3614457831325301"
"1","square-x","60","30","9","33","94.76021314387212","4.156171284634761"
"6","square-x","60","30","11","25","94.72774416594642","3.1565656565656566"
"2","square-x","60","30","12","16","96.38095238095238","2.1476510067114094"
"4","square-x","60","30","16","0","98.43173431734317","0"
"9","square-x","60","30","0","402","52.16867469879518","53.52862849533955"
"5","square-x","60","30","19","2","98.25757575757575","0.24096385542168677"
"1","square-x","60","30","10","33","94.92119089316988","4.156171284634761"
"10","square-x","60","30","0","492","47.89272030651341","60.966542750929364"
"7","square-x","60","30","9","63","93.12714776632302","7.84557907845579"
"5","square-x","60","30","20","3","98.40788476118271","0.3614457831325301"
"9","square-x","60","30","1","315","60.139049826187716","41.944074567243675"
"5","square-x","60","30","21","4","98.0347694633409","0.48192771084337355"
"1","square-x","60","30","11","26","94.90060501296456","3.27455919395466"
"9","square-x","60","30","2","244","68.71508379888269","32.49001331557923"
"2","square-x","60","30","13","12","96.60377358490567","1.6107382550335572"
"6","square-x","60","30","12","20","95.85849870578085","2.525252525252525"
"7","square-x","60","30","10","45","93.95973154362416","5.603985056039851"
"10","square-x","60","30","1","359","58.25602968460112","44.48574969021066"
"5","square-x","60","30","22","2","98.19140919366993","0.24096385542168677"
"1","square-x","60","30","12","18","96.09375","2.2670025188916876"
"10","square-x","60","30","2","258","68.87661141804789","31.970260223048324"
"5","square-x","60","30","23","0","98.56603773584905","0"
"9","square-x","60","30","3","185","75.63025210084034","24.63382157123835"
"2","square-x","60","30","14","10","96.70122525918944","1.342281879194631"
"11","square-x","60","40","0","654","48.1659651232712","63.0665380906461"
"6","square-x","60","30","13","13","96.54874892148403","1.6414141414141417"
"7","square-x","60","30","11","39","94.2339373970346","4.85678704856787"
"1","square-x","60","30","13","12","97.47606614447345","1.5113350125944585"
"1","square-x","60","30","14","5","97.5","0.6297229219143577"
"6","square-x","60","30","14","12","96.48068669527898","1.5151515151515151"
